#separator:tab
#html:false
你	nǐ	you
好	hǎo	good
你好	nǐ haǒ	hello
我	wǒ	I
叫	jiaò	called
素清	sù qīng	Sue Qing
不	bù	no
是	shì	be
中	zhōng	middle
国	guó	country
中国	Zhōngguó	China
人	rén	person
日	rì	sun / day
日本	Rìběn	Japan
可是	kěshì	but
住	zhù	stay
在	zài	at
大	dà	big
亚	yà	Asia
澳大利亚	Aòdàlìyà	Australia
有	yǒu	have
一	yī	one
个	ge	(general measure word)
男	nán	male
朋友	péngyou	friend
男朋友	nánpéngyou	boyfriend
他	tā	he / she
英	yīng	UK / British / English
英国	Yīngguó	Britain
的	de	of
妈妈	māma	Mom
喜欢	xǐhuan	like
什么	shémme	what
为什么	wèishémme	why
因为	yīnwèi	since
很	hěn	very
胖	pàng	fat
穷	qióng	poor
矮	ǎi	short
要	yào	want / will / need
不要	búyào	don't / doesn't want
买	mǎi	buy
房子	fángzi	house
没	méi	didn't / doesn't
没有	méiyǒu	doesn't have
对	duì	correct
谢谢	xièxie	thanks
多	duō	many
吃	chī	eat
好吃	hǎochī	tasty
天	tiān	day
饿	è	hungry
说	shuō	say / speak
们	mén	(plural)
我们	wǒmen	we
你们	nǐmen	you guys
他们	tāmen	they
也	yě	also
都	dōu	all
可以	kěyǐ	can
去	qù	go
意大利	Yìdàlì	Italy
菜	cài	food
怎么样	zěmmeyàng	how about?
太	tài	too
贵	guì	expensive
了	le	(change of state ; instensifier)
泰国	Tàiguó	Thailand
甜	tián	sweet
会	huì	can
做	zuò	do / make
所以	suǒyǐ	so
饭	fàn	cooked rice / food
店	diàn	store
饭店	fàndiàn	restaurant
哎呀	āiyā	Oh!
到	dào	to / until
到底	dàodǐ	finally / in the end
真	zhēn	really / truly / genuine
再	zài	again
见	jiàn	see / meet
再见	zàijiàn	See you again!
包	bāo	cover / wrap / bag
服务员	fúwùyuán	waitress / waiter
给	gěi	for
然后	ránhòu	then
明	míng	bright / clear
白	bái	white
明白	míngbái	understand
吗	ma	(yes/no question particle)
觉得	juéde	think
它	tā	it
星期	xīngqī	week
时候	shíhou	time
睡觉	shuìjiào	sleep
健身	jiànshēn	exercise
教	jiāo	teach
文	wén	language / culture
中文	Zhōngwén	Mandarin Chinese language
二	èr	two
三	sān	3
四	sì	4
五	wǔ	5
六	liù	6
学	xué	learn / study
想	xiǎng	think / want
可能	kěnéng	maybe
生	shēng	life
学生	xuéshēng	student
家	jiā	home
今	jīn	present time
每	měi	each / every
差	chà	lack
差不多	chàbuduō	approximately / more or less
点	diǎn	dot / o'clock
来	lái	come
床	chuáng	bed
起床	qǐchuáng	get out of bed
一定	yídìng	surely
不一定	bùyídìng	not necessarily / maybe
如果	rúguǒ	if
工作	gōngzuò	work
醒来	xǐnglái	wake up
懒	lǎn	lazy
睡懒觉	shuìlǎnjiào	sleep in
以后	yǐhòu	afterwards
早	zǎo	early
早饭	zǎofàn	breakfast
知道	zhīdào	know
呢	ne	(particle for prior question)
喝	hē	drink
咖啡	kāfēi	coffee
或者	huòzhě	or
学习	xuéxí	study
