#separator:tab
#html:false
秋葵	qiūkuí	okra
总是	zǒngshì	always
分享	fēnxiǎng	share with others
道	dào	(classifier)
蒜	suàn	garlic
白灼	báizhuó	blanch
仅	jǐn	only / merely
不仅	bùjǐn	not just
做法	zuòfǎ	method for doing something
简单	jiǎndān	simple
而且	érqiě	but also
嫩	nèn	tender
营养	yíngyǎng	nutrition
美味	měiwèi	delicious
接下来	jiēxiàlái	next / following
跟着	gēnzhe	follow after
具体	jùtǐ	specific / detailed
怎么	zěnme	how / what / why
吧	ba	(particle for suggestion)
花	huā	spend money / time
斤	jīn	catty
选	xuǎn	choose
稍微	shāowēi	a little bit
加入	jiārù	add in / mix into
勺	sháo	spoon
食盐	shíyán	salt
倒入	dàorù	pour in
清水	qīngshuǐ	fresh water
没过	mòguò	cover
这里	zhèlǐ	here
好听	hǎotīng	pleasant to hear
长相	zhǎngxiàng	appearance
辣椒	làjiāo	hot pepper
相似	xiāngsì	similar
称之为	chēngzhīwéi	call it / known as
其他	qítā	other
叫法	jiàofǎ	term / way of referring to something
